Observation,TextUrn,Image,Comments
urn:cite:op:2015office10.1,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@κ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.473,0.2397,0.02,0.0165",
urn:cite:op:2015office10.2,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@έ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.489,0.2329,0.019,0.0233",
urn:cite:op:2015office10.3,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@κ[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.506,0.2389,0.016,0.0165",
urn:cite:op:2015office10.4,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@λ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.518,0.2382,0.013,0.018",
urn:cite:op:2015office10.5,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@υ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.53,0.2419,0.01,0.0128",
urn:cite:op:2015office10.6,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@τ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.537,0.2419,0.012,0.015",
urn:cite:op:2015office10.7,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@έ[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.543,0.2322,0.017,0.0225",
urn:cite:op:2015office10.8,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@μ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.558,0.2389,0.013,0.0173",
urn:cite:op:2015office10.9,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ευ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.567,0.2352,0.024,0.0195",
urn:cite:op:2015office10.10,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@π[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.587,0.2404,0.019,0.0143",
urn:cite:op:2015office10.11,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@α[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.602,0.2404,0.015,0.012",
urn:cite:op:2015office10.12,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ν[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.614,0.2412,0.01,0.0143",
urn:cite:op:2015office10.13,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@τες[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.624,0.2397,0.023,0.015",
urn:cite:op:2015office10.14,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@τ[3],"urn:cite:hmt:vaimg.VA253VN-0755@0.648,0.2419,0.013,0.0113",
urn:cite:op:2015office10.15,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ὲ[5],"urn:cite:hmt:vaimg.VA253VN-0755@0.655,0.2329,0.016,0.021",
urn:cite:op:2015office10.16,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@θ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.667,0.2397,0.018,0.015",
urn:cite:op:2015office10.17,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ε[6],"urn:cite:hmt:vaimg.VA253VN-0755@0.681,0.2359,0.011,0.0188",
urn:cite:op:2015office10.18,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ο[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.691,0.2419,0.007,0.012",
urn:cite:op:2015office10.19,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ὶ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.699,0.2389,0.008,0.0135",
urn:cite:op:2015office10.20,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@π[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.706,0.2389,0.022,0.0165",
urn:cite:op:2015office10.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ᾶ[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.727,0.2329,0.012,0.0218",
urn:cite:op:2015office10.22,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@σ[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.739,0.2419,0.009,0.0098",
urn:cite:op:2015office10.23,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@α[3],"urn:cite:hmt:vaimg.VA253VN-0755@0.75,0.2442,0.011,0.0053",
urn:cite:op:2015office10.24,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ί[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.76,0.2329,0.009,0.021",
urn:cite:op:2015office10.25,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@τ[4],"urn:cite:hmt:vaimg.VA253VN-0755@0.767,0.2382,0.009,0.0143",
urn:cite:op:2015office10.26,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ε[7],"urn:cite:hmt:vaimg.VA253VN-0755@0.772,0.2427,0.01,0.0075",
urn:cite:op:2015office10.27,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@θ[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.789,0.2404,0.012,0.0105",
urn:cite:op:2015office10.28,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@έ[8],"urn:cite:hmt:vaimg.VA253VN-0755@0.803,0.2322,0.012,0.0173",
urn:cite:op:2015office10.29,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@α[4],"urn:cite:hmt:vaimg.VA253VN-0755@0.813,0.2412,0.009,0.006",
urn:cite:op:2015office10.30,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ι[3],"urn:cite:hmt:vaimg.VA253VN-0755@0.822,0.2412,0.007,0.0083",
urn:cite:op:2015office10.31,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ν[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.829,0.2412,0.011,0.0083",
urn:cite:op:2015office10.32,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@α[5],"urn:cite:hmt:vaimg.VA253VN-0755@0.842,0.2419,0.006,0.0053",
urn:cite:op:2015office10.33,urn:cts:greekLit:tlg0012.tlg001.msA:19.101@ι[4],"urn:cite:hmt:vaimg.VA253VN-0755@0.85,0.2404,0.005,0.0113",
urn:cite:op:2015office10.34,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@τ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.226,0.1322,0.015,0.0113",
urn:cite:op:2015office10.35,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ῶ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.238,0.1322,0.014,0.009",
urn:cite:op:2015office10.36,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ν[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.247,0.1322,0.014,0.009",
urn:cite:op:2015office10.37,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ἀ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.257,0.1322,0.014,0.009",
urn:cite:op:2015office10.38,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ν[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.265,0.1322,0.014,0.009",
urn:cite:op:2015office10.39,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@δ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.275,0.1322,0.014,0.009",
urn:cite:op:2015office10.40,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ρ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.285,0.133,0.009,0.0098",
urn:cite:op:2015office10.41,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ῶ[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.291,0.1262,0.011,0.0165",
urn:cite:op:2015office10.42,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ν[3],"urn:cite:hmt:vaimg.VA253VN-0755@0.299,0.1292,0.011,0.0135",
urn:cite:op:2015office10.43,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@γ[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.308,0.1292,0.008,0.0135",
urn:cite:op:2015office10.44,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ε[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.312,0.1292,0.009,0.0135",
urn:cite:op:2015office10.45,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ν[4],"urn:cite:hmt:vaimg.VA253VN-0755@0.318,0.1292,0.01,0.0135",
urn:cite:op:2015office10.46,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ε[2],"urn:cite:hmt:vaimg.VA253VN-0755@0.324,0.1292,0.009,0.0135",
urn:cite:op:2015office10.47,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ή[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.333,0.1292,0.007,0.0135",
urn:cite:op:2015office10.48,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ς[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.337,0.1292,0.009,0.0135",
urn:cite:op:2015office10.49,urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1@ἐστι[1],"urn:cite:hmt:vaimg.VA253VN-0755@0.406,0.1292,0.011,0.012", funky abbreviation
