Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:19.101,"urn:cite:hmt:vaimg.VA253VN-0755@0.464,0.2314,0.414,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.102,"urn:cite:hmt:vaimg.VA253VN-0755@0.468,0.2547,0.414,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.103,"urn:cite:hmt:vaimg.VA253VN-0755@0.47,0.2735,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.104,"urn:cite:hmt:vaimg.VA253VN-0755@0.47,0.2938,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.105,"urn:cite:hmt:vaimg.VA253VN-0755@0.468,0.3133,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.106,"urn:cite:hmt:vaimg.VA253VN-0755@0.469,0.3306,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.107,"urn:cite:hmt:vaimg.VA253VN-0755@0.469,0.3486,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.108,"urn:cite:hmt:vaimg.VA253VN-0755@0.475,0.3681,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.109,"urn:cite:hmt:vaimg.VA253VN-0755@0.474,0.3892,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.110,"urn:cite:hmt:vaimg.VA253VN-0755@0.482,0.4057,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.111,"urn:cite:hmt:vaimg.VA253VN-0755@0.478,0.4267,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.112,"urn:cite:hmt:vaimg.VA253VN-0755@0.461,0.4418,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.113,"urn:cite:hmt:vaimg.VA253VN-0755@0.479,0.4613,0.414,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:19.114,"urn:cite:hmt:vaimg.VA253VN-0755@0.483,0.4831,0.333,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:19.115,"urn:cite:hmt:vaimg.VA253VN-0755@0.484,0.4974,0.423,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:19.116,"urn:cite:hmt:vaimg.VA253VN-0755@0.487,0.5199,0.343,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:19.117,"urn:cite:hmt:vaimg.VA253VN-0755@0.486,0.5387,0.397,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.118,"urn:cite:hmt:vaimg.VA253VN-0755@0.491,0.5567,0.398,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.119,"urn:cite:hmt:vaimg.VA253VN-0755@0.483,0.5748,0.427,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:19.120,"urn:cite:hmt:vaimg.VA253VN-0755@0.488,0.595,0.371,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:19.121,"urn:cite:hmt:vaimg.VA253VN-0755@0.489,0.6116,0.408,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.122,"urn:cite:hmt:vaimg.VA253VN-0755@0.486,0.6311,0.39,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:19.123,"urn:cite:hmt:vaimg.VA253VN-0755@0.488,0.6506,0.34,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:19.124,"urn:cite:hmt:vaimg.VA253VN-0755@0.487,0.6679,0.374,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:19.125,"urn:cite:hmt:vaimg.VA253VN-0755@0.487,0.6844,0.41,0.0353"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.207,0.1165,0.71,0.0443"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_2,"urn:cite:hmt:vaimg.VA253VN-0755@0.201,0.1352,0.71,0.0834"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_3,"urn:cite:hmt:vaimg.VA253VN-0755@0.201,0.4884,0.247,0.0699"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_4,"urn:cite:hmt:vaimg.VA253VN-0755@0.204,0.55,0.23,0.0556"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_5,"urn:cite:hmt:vaimg.VA253VN-0755@0.203,0.5988,0.23,0.0646"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_6,"urn:cite:hmt:vaimg.VA253VN-0755@0.212,0.6566,0.701,0.1202"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_7,"urn:cite:hmt:vaimg.VA253VN-0755@0.216,0.7461,0.701,0.0428"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_8,"urn:cite:hmt:vaimg.VA253VN-0755@0.217,0.7588,0.701,0.0428"
urn:cts:greekLit:tlg5026.msA.hmt:19.office10_9,"urn:cite:hmt:vaimg.VA253VN-0755@0.219,0.7686,0.701,0.0526"
urn:cts:greekLit:tlg5026.msAim.hmt:19.office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.421,0.3133,0.055,0.0383"
urn:cts:greekLit:tlg5026.msAim.hmt:19.office10_2,"urn:cite:hmt:vaimg.VA253VN-0755@0.416,0.3554,0.065,0.0563"
urn:cts:greekLit:tlg5026.msAim.hmt:19.office10_3,"urn:cite:hmt:vaimg.VA253VN-0755@0.431,0.5838,0.048,0.0353"
urn:cts:greekLit:tlg5026.msAint.hmt:19.office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.856,0.26,0.034,0.0098"
urn:cts:greekLit:tlg5026.msAint.hmt:19.office10_2,"urn:cite:hmt:vaimg.VA253VN-0755@0.858,0.3156,0.054,0.0406"
urn:cts:greekLit:tlg5026.msAint.hmt:19.office10_3,"urn:cite:hmt:vaimg.VA253VN-0755@0.855,0.5237,0.055,0.0135"
urn:cts:greekLit:tlg5026.msAint.hmt:19.office10_4,"urn:cite:hmt:vaimg.VA253VN-0755@0.875,0.6619,0.047,0.0451"
urn:cts:greekLit:tlg5026.msAext.hmt:19.office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.127,0.5522,0.083,0.0218"
